OBJECTID	GEO_id	foreign_born_pct	edu_less_hs	unemployment	below_poverty	female_headed_hh	pct_Hispanic	pct_Black	county
174	39061021422	4.3103448	7.0401587	10.6242497	11.2168593	5.1575931	7.5596817	0	Hamilton
175	39061021202	1.636758	8.7603306	2.7365129	5.7582331	4.5925926	0	2.2086374	Hamilton
176	39061021401	1.4122654	12.5269314	10.3806228	18.5964223	13.3301931	2.669762	3.5209905	Hamilton
177	39061021571	1.826087	5.560459	11.8333333	17.7639383	13.0539887	0.4347826	53.0434783	Hamilton
178	39061021801	4.4040211	7.2849214	9.6966092	21.6677503	15.5142155	1.1807883	47.6304452	Hamilton
179	39061022102	5.1456618	3.9196472	6.9611781	6.25	12.5955734	1.5357821	32.1722609	Hamilton
180	39007000400	1.1666667	16.4247517	12.4497992	19.3659942	6.5710872	1.1111111	3.2222222	Ashtabula
181	39007001302	0.5597761	18.1399632	6.4941406	25.1906865	9.0021692	5.1379448	0.7197121	Ashtabula
182	39007001102	0.8830022	6.9204152	8.5403198	16.7128028	7.4448529	1.5792155	0.5094244	Ashtabula
183	39007000802	0.5643341	10.2229473	6.8365696	14.5164355	11.0189027	9.0669676	0.3009782	Ashtabula
184	39007000801	2.7027027	12.7230411	8.5015941	12.8516271	4.7225502	3.2542747	0	Ashtabula
185	39007001002	2.6257513	8.5577759	6.0488346	12.2408687	3.5947712	2.7522936	0.1265422	Ashtabula
186	39007001001	0.6194348	10.9179794	10.1314116	14.2717114	5.6633456	0.1935734	1.4518002	Ashtabula
187	39007001101	0.2691066	10.7327905	8.6056645	5.7588805	3.9051604	0.6996771	0	Ashtabula
188	39007001301	0.7560337	13.6493666	4.8355899	20.3323263	12.7474268	0.3198604	0.2035475	Ashtabula
189	39061021101	2.1520515	3.718025	3.0957523	7.5555556	4.870892	2.6749799	0.5631537	Hamilton
190	39061020812	2.5641026	5.3333333	4.3961597	6.5976403	4.5926736	0	6.4941289	Hamilton
191	39061022000	3.3512064	5.05997	4.8621554	12.1377802	5.3799597	4.4504021	13.8873995	Hamilton
192	39061026102	0.7096774	10.6904232	4.0802213	11.255116	7.9248366	0	2.0967742	Hamilton
193	39061022700	0.8035714	17.1853228	29.3661972	41.8452381	23.2925953	2.6785714	85.7738095	Hamilton
194	39061026002	0.47553	10.4363208	4.3445971	4.9138102	5.3305997	1.5454726	0.9312463	Hamilton
195	39061024322	10.8395324	1.578854	2.5448762	2.3947836	1.1635866	6.1518479	2.5386705	Hamilton
196	39061024303	5.5798368	8.6469534	3.5569927	12.5	10.6641366	0.4370629	3.4382284	Hamilton
197	39061024100	6.0932945	4.3031471	2.6182432	2.2425494	6.0259344	5.1457726	0.6559767	Hamilton
198	39061002000	6.0132291	7.0512821	6.2171629	13.8703816	4.0733198	2.4052916	30.2465424	Hamilton
199	39061002200	5.952381	13.9717425	17.9802956	33.9863326	13.8043478	2.9541446	66.0493827	Hamilton
200	39061002300	4.3977055	19.9646643	34.8235294	58.2573455	26.0579065	0.3824092	64.3403442	Hamilton
201	39061002500	6.2925852	12.4822695	3.125	49.1382766	5.6390977	2.4849699	15.1102204	Hamilton
202	39061002600	2.6742532	7.1428571	6.4118896	58.9728959	2.7066569	3.2432432	13.14367	Hamilton
203	39061002700	4.5977012	14.1798942	15.2988048	40.2298851	6.6666667	2.4630542	27.3125342	Hamilton
204	39061002800	3.5646085	33.2713755	10.5357143	29.6326531	15.959596	4.7103756	28.0712922	Hamilton
205	39061002900	22.8975535	8.6617583	13.3676872	42.4759081	3.7094281	2.3891437	9.441896	Hamilton
